 Name                  Version    License                                         
 CacheControl          0.14.0     Apache Software License                         
 RapidFuzz             3.10.0     MIT License                                     
 SecretStorage         3.3.3      BSD License                                     
 build                 1.2.2      MIT License                                     
 certifi               2024.8.30  Mozilla Public License 2.0 (MPL 2.0)            
 cffi                  1.17.1     MIT License                                     
 charset-normalizer    3.3.2      MIT License                                     
 cleo                  2.1.0      MIT License                                     
 crashtest             0.4.1      MIT License                                     
 cryptography          43.0.1     Apache Software License; BSD License            
 cx_Freeze             7.2.3      Python Software Foundation License              
 distlib               0.3.8      Python Software Foundation License              
 dulwich               0.21.7     Apache Software License                         
 fastjsonschema        2.20.0     BSD License                                     
 filelock              3.16.1     The Unlicense (Unlicense)                       
 idna                  3.10       BSD License                                     
 importlib_metadata    8.5.0      Apache Software License                         
 installer             0.7.0      MIT License                                     
 jaraco.classes        3.4.0      MIT License                                     
 jeepney               0.8.0      MIT License                                     
 keyring               24.3.1     MIT License                                     
 more-itertools        10.5.0     MIT License                                     
 msgpack               1.1.0      Apache Software License                         
 packaging             24.1       Apache Software License; BSD License            
 patchelf              0.17.2.1   GNU General Public License v3 or later (GPLv3+) 
 pexpect               4.9.0      ISC License (ISCL)                              
 pkginfo               1.11.1     MIT License                                     
 platformdirs          4.3.6      MIT License                                     
 poetry                1.8.3      MIT License                                     
 poetry-core           1.9.0      MIT License                                     
 poetry-plugin-export  1.8.0      MIT License                                     
 ptyprocess            0.7.0      ISC License (ISCL)                              
 pycparser             2.22       BSD License                                     
 pyproject_hooks       1.2.0      MIT License                                     
 requests              2.32.3     Apache Software License                         
 requests-toolbelt     1.0.0      Apache Software License                         
 shellingham           1.5.4      ISC License (ISCL)                              
 tomlkit               0.13.2     MIT License                                     
 trove-classifiers     2024.9.12  Apache Software License                         
 urllib3               2.2.3      MIT License                                     
 uv                    0.4.18     Apache Software License; MIT License            
 virtualenv            20.26.6    MIT License                                     
 zipp                  3.20.2     MIT License                                     
